.id,dataset,replicate.merging,rarity.cutoff,sample.type,frequency,percentage,log.freq,loess.5,loess.5.secderiv,Core,In-between,Satellite,,log10,sites,moving avg,lowess,loess,sgolay,rlowess,rloess,knot5,knot15,knot25,knot35,knot45,knot55,ln,sites,moving avg,lowess,loess,sgolay,rlowess,rloess,knot5,knot15,knot25,knot35,knot45,knot55,second derivative of ln data --> ,sites,moving avg,lowess,loess,sgolay,rlowess,rloess,knot5,knot15,knot25,knot35,knot45,knot55
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,41,33,3.713572067,3.981702705,0.009445689,93-100,Nov-92,10-Jan,,,31,1.612783857,1.612783857,1.612783857,1.612783857,1.612783857,1.612783857,1.72553477,1.715501623,1.612783857,1.718217827,1.780301864,1.612783857,,31,3.713572067,3.713572067,3.713572067,3.713572067,3.713572067,3.713572067,3.973190639,3.950088464,3.713572067,3.956342755,4.099296533,3.713572067,,31,0.013124011,0.0267938,0.118002337,0.026422293,-0.049166165,0.118002337,0.000118378,0.003105931,-0.010793299,0.098568767,-0.007321644,0.040084147
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,60,34,4.094344562,3.979100017,0.004917388,93-100,Nov-92,10-Jan,,,32,1.77815125,1.77815125,1.77815125,1.77815125,1.77815125,1.77815125,1.743125804,1.719985564,1.77815125,1.706095318,1.760065088,1.77815125,,32,4.094344561,4.094344561,4.094344561,4.094344561,4.094344561,4.094344561,4.013695492,3.96041312,4.094344561,3.928429646,4.052699634,4.094344561,,32,-0.022084889,0.031611523,0.01613463,0.055681418,0.018580681,0.01613463,0.000234367,-0.001689196,-0.022413817,-0.028040365,0.179853641,0.178636822
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,55,35,4.007333185,3.98038112,-0.005812489,93-100,Nov-92,10-Jan,,,33,1.740362689,1.740362689,1.740362689,1.740362689,1.740362689,1.740362689,1.744472481,1.762001214,1.740362689,1.770991545,1.761963094,1.740362689,,33,4.007333184,4.007333184,4.007333184,4.007333184,4.007333184,4.007333184,4.01679633,4.057157729,4.007333184,4.077858731,4.057069955,4.007333184,,33,-0.032534465,-0.04161215,-0.031676758,-0.046181221,-0.007017671,-0.031676758,0.000350357,-0.006484324,-0.013379119,-0.154649498,0.027865661,-0.008648421
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,60,37,4.094344562,3.965702127,-0.010883028,93-100,Nov-92,10-Jan,,,34,1.77815125,1.77815125,1.77815125,1.77815125,1.77815125,1.77815125,1.737872429,1.777284745,1.77815125,1.794116551,1.777383869,1.77815125,,34,4.094344561,4.094344561,4.094344561,4.094344561,4.094344561,4.094344561,4.001599149,4.09234936,4.094344561,4.131106025,4.092577601,4.094344561,,34,-0.02161627,-0.101088172,-0.114189601,-0.134252667,-0.072662557,-0.114189601,0.000466346,-0.010276998,-0.004344421,-0.12864143,-0.317929899,-0.194650296
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,65,38,4.17438727,3.943305723,-0.013418298,93-100,Nov-92,10-Jan,,,35,1.812913357,1.812913357,1.812913357,1.812913357,1.812913357,1.812913357,1.706892037,1.736213098,1.812913357,1.743540265,1.731433383,1.812913357,,35,4.174387271,4.174387271,4.174387271,4.174387271,4.174387271,4.174387271,3.93026416,3.997778398,4.174387271,4.014649823,3.986772697,4.174387271,,35,0.016465925,-0.047788238,-0.150942934,-0.068279768,-0.042629915,-0.150942934,0.000582335,-0.008054956,0.004690277,0.033026371,-0.19750727,-0.37989725
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,38,39,3.63758616,3.910977868,0.004967517,93-100,Nov-92,10-Jan,,,36,1.579783597,1.579783597,1.579783597,1.579783597,1.579783597,1.579783597,1.695067746,1.658975784,1.579783597,1.648917013,1.66847486,1.579783597,,36,3.637586161,3.637586161,3.637586161,3.637586161,3.637586161,3.637586161,3.903037724,3.81993291,3.637586161,3.796771734,3.841805341,3.637586161,,36,0.008992553,0.089682381,0.172593313,0.118600515,0.07791552,0.172593313,0.000698324,-0.005832914,0.004826136,0.194694173,0.311430516,0.237274532
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,42,40,3.737669618,3.879892773,0.001004789,93-100,Nov-92,10-Jan,,,37,1.62324929,1.62324929,1.62324929,1.62324929,1.62324929,1.62324929,1.697915834,1.627408309,1.62324929,1.59747488,1.626847923,1.62324929,,37,3.737669617,3.737669617,3.737669617,3.737669617,3.737669617,3.737669617,3.909595689,3.747246113,3.737669617,3.678321845,3.745955776,3.737669617,,37,-0.019174106,0.117920614,0.206545605,0.170621975,0.108751755,0.206545605,0.000814314,-0.003610873,-0.003936843,0.091427577,0.345710793,0.575770284
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,48,41,3.871201011,3.849812468,-0.002957938,93-100,Nov-92,10-Jan,,,38,1.681241237,1.681241237,1.681241237,1.681241237,1.681241237,1.681241237,1.667884729,1.696461076,1.681241237,1.709747672,1.694918973,1.681241237,,38,3.87120101,3.87120101,3.87120101,3.87120101,3.87120101,3.87120101,3.840446514,3.906245984,3.87120101,3.936839502,3.902695161,3.87120101,,38,0.007388995,-0.043387348,-0.069043616,-0.06339619,-0.035706997,-0.069043616,0.000930303,-0.001388831,-0.012699821,-0.068610674,-0.189597942,-0.285777317
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,62,42,4.127134385,3.816010678,-0.011501943,93-100,Nov-92,10-Jan,,,39,1.792391689,1.792391689,1.792391689,1.792391689,1.792391689,1.792391689,1.655630798,1.723452609,1.792391689,1.747810225,1.711183611,1.792391689,,39,4.127134384,4.127134384,4.127134384,4.127134384,4.127134384,4.127134384,3.812230795,3.968396286,4.127134384,4.024481769,3.940145874,4.127134384,,39,0.004401674,-0.133949409,-0.255022898,-0.184972821,-0.115158648,-0.255022898,0.001046292,0.000833211,-0.0214628,-0.194704022,-0.383733376,-0.403083367
mf_rep.merged1_all_sed,Molecular formulae,rep.merged1,all,sed,46,43,3.828641396,3.774043118,-2.89E-05,93-100,Nov-92,10-Jan,,,40,1.662757832,1.662757832,1.662757832,1.662757832,1.662757832,1.662757832,1.653537711,1.658574825,1.662757832,1.660447869,1.659333679,1.662757832,,40,3.828641397,3.828641397,3.828641397,3.828641397,3.828641397,3.828641397,3.807411284,3.819009668,3.828641397,3.823322511,3.820756994,3.828641397,,40,-0.032388612,-0.035624247,-0.018127429,-0.038206065,-0.035756616,-0.018127429,0.001162282,0.003055253,-0.011524603,-0.06621059,0.019184464,0.170692022
