".id","dataset","replicate.merging","rarity.cutoff","sample.type","frequency","percentage","log.freq","loess.5","loess.5.secderiv","Core","In-between","Satellite"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",172,16,5.14749447681345,5.19239920608749,0.00137741234565067,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",162,17,5.08759633523238,5.11607854892075,-0.00130794812661598,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",168,18,5.12396397940326,5.03851057143456,-0.00362954175596339,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",153,19,5.03043792139244,4.9573130521924,-0.00595113538531081,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",149,20,5.00394630594546,4.87194509948216,0.00241148248871984,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",95,21,4.55387689160054,4.78848136785224,0.00773053191232479,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",106,22,4.66343909411207,4.71274816813464,0.0130495813359297,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",106,23,4.66343909411207,4.64773967078819,0.00441935697080175,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",113,24,4.72738781871234,4.58879981697582,0.00568485198542133,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",86,25,4.45434729625351,4.53554481514888,0.00695034700004092,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",88,26,4.47733681447821,4.48914720294968,0.00765809778086919,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",87,27,4.46590811865458,4.45040768853135,0.00836584856169747,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",72,28,4.27666611901606,4.41948586572585,0.00578465764938416,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",90,29,4.49980967033027,4.39421507235527,0.00240169745019558,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",71,31,4.26267987704132,4.3474956177655,-0.00436422294818159,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",84,32,4.43081679884331,4.3190626797708,-0.00905732141012285,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",71,33,4.26267987704132,4.2821876043948,-0.0100593156992016,"80-100","19-79","1-18"
"mf_rep.merged1_all_water","Molecular formulae","rep.merged1","all","water",72,34,4.27666611901606,4.2352532133196,-0.0110613099882803,"80-100","19-79","1-18"
