"Mass","Mean","Median","SD","SED_Mean","SED_Median","SED_SD","SW_Mean","SW_Median","SW_SD"
235.064561622715,24.61,22.5,11.75,15.46,16,6.86,32.53,34,9
235.074240084576,22.48,23,5.06,25.57,25,3.57,18.82,18,4
235.097574871721,45.78,46,6.77,43.07,44,6.13,48.59,48,6.26
235.10880916231,9.91,10,3.25,9.75,9.5,3.1,17,17,NA
235.110636908137,41.12,42.5,3.8,41.68,43,3.4,35,35,2.83
235.118727180867,62.49,64,5.98,63.59,64,3.4,41,41,4.24
235.133940754073,30.68,31,3.35,29.97,30,3.09,31.51,32,3.47
235.14699720317,13.17,13,1.56,13.17,13,1.56,NA,NA,NA
235.170349200424,36.46,38,6.28,38.16,38,3.62,23.5,22,7.31
236.105381468175,4.88,5,1.57,5.69,6,1.52,4.04,4,1.11
236.865835602516,1.03,1,0.18,1.04,1,0.2,1,1,0
236.962159476856,1.75,2,0.5,1.75,2,0.5,NA,NA,NA
236.965896893828,2.09,2,0.51,2.02,2,0.29,2.15,2,0.65
237.04044214943,52.89,53,13.03,44.11,45,9.88,60.46,64,10.42
237.053483132313,12.06,11,4,11.79,11,3.87,12.68,12,4.3
237.071272311008,9.89,10,1.98,9.41,10,1.85,10.61,10,2
237.076835148844,60.52,62,12.06,52.26,54,10.02,68.36,70,7.89
237.089878681132,19.5,20,3.73,21.55,22,2.75,16.46,16,2.81
237.108746274048,1.53,1,0.64,1.53,1,0.64,2,2,NA
237.113222661535,52.26,52,5.84,51.2,52,5.72,53.26,52,5.8
237.149610225685,48.88,50,4.75,49.56,50,4.16,44.5,43.5,6.07
237.965476866205,1.04,1,0.2,1.05,1,0.22,1.02,1,0.15
238.056814382126,2,2,1.41,1,1,NA,3,3,NA
238.072065454105,33.79,33,8.9,30.14,31,6.22,37.86,37,9.68
238.121556498653,20.53,21,6.32,22.14,22,3.87,10.86,10,9.46
238.929556190679,1,1,0,1,1,0,NA,NA,NA
238.962964376598,2.02,2,0.92,2.52,2,0.83,1.49,1,0.7
238.970164097267,1.12,1,0.35,1.12,1,0.35,NA,NA,NA
239.019722068048,66.04,67,16.74,51.82,53,11.46,77.02,79.5,10.86
239.034988337925,24.58,26,9.21,19.56,21,8.38,29.93,31,6.73
239.050589942199,19.15,18,5.24,18.08,17,3.67,29.8,31,6.98
239.056111749827,88.43,90,20.66,73.65,74.5,16.34,102.12,105,13.62
239.067335160005,12.85,12,5.55,12.75,13,4.33,12.95,12,6.52
239.069188197426,60.7,62,8.5,60.56,61.5,8.49,62,64,9.15
239.086974340905,31.04,32,5.48,31.06,32,5.43,30.5,30.5,9.19
239.090068807924,2,2,NA,2,2,NA,NA,NA,NA
239.092497043343,91.34,91,14.44,83.61,85.5,13.13,98.9,99.5,11.35
239.105565313133,59.04,61,9.07,60.45,61.5,8.38,46.6,46,3.91
239.128875334313,57.47,59,8.02,61.35,63,6.94,53.67,53,7.16
239.165257144449,45,49,8.79,49.31,50,3.98,32.07,30,6.14
239.962533060119,1.34,1,0.48,1.33,1,0.48,1.5,1.5,0.71
240.087731859761,42.61,42,7.78,39.63,38,7.41,45.15,43,7.24
240.10083139872,20.63,21,5.06,21.09,21,4.39,9,5,7.81
240.88437553524,1.13,1,0.35,1.13,1,0.35,NA,NA,NA
240.959824378284,1.92,2,0.48,1.92,2,0.48,NA,NA,NA
241.01761306898,21.29,21,10.35,12.5,9.5,9.26,22.59,21,10
241.03537000793,73.07,73.5,15.22,60.63,61,10.6,83.27,87,9.92
241.04661948641,11.48,11,6.63,10.32,10,4.89,23.38,25,10.23
241.048450958809,44.67,43,3.79,44.67,43,3.79,NA,NA,NA
241.071742177286,52.68,53.5,9.65,48.66,50,9.02,56.44,58,8.69
241.084822886111,44,43,3.74,44,43,3.74,NA,NA,NA
241.108108701126,41.97,43,6.94,42.9,45,6.74,41.05,41,7.04
241.119391818517,15.51,15,5.77,15.74,15,5.74,12.86,14,5.98
241.136462002825,21.19,22,5.48,25.34,26,3.59,17.13,17,3.66
241.140368450043,2.25,2,0.5,2.25,2,0.5,NA,NA,NA
241.144500716867,32.67,33,6.32,36.17,38,5.89,29.01,28,4.39
241.180915552912,48.26,49,5.48,48.26,49,5.48,NA,NA,NA
241.758342075002,1.03,1,0.18,1.04,1,0.19,1,1,0
242.067003394095,43.21,40.5,18.6,31.18,30,13.29,56.4,58,14.12
242.103366902208,41.25,41,5.18,42.3,43,5.1,39.15,39,4.76
242.139774985264,26.89,27.5,8.76,32.29,33,6.62,21.6,21,7.27
242.176146484794,12.17,11,5.96,17.22,18,3.6,7.23,7,2.85
242.812358253774,1.2,1,0.45,1.2,1,0.45,NA,NA,NA
242.876834726603,1.75,2,0.64,1.75,2,0.64,NA,NA,NA
243.033276751001,25.08,17,17.5,13.02,11,6.98,43.5,43.5,11.6
243.051022355256,75.26,75,13.6,65.44,65,10.17,83.63,84,10.11
243.087381596419,48.06,50,7.31,48.94,51,7.77,47.19,48,6.74
243.123762567035,32.68,34,7.85,37.27,39,6.18,28.1,28,6.57
243.133514748991,23.27,24,4.17,24.94,26,4.41,21.64,22,3.2
243.160166460746,33.78,35,8.48,40.05,42,5.41,26.56,25.5,4.83
243.196588271639,41.2,42,4.75,41.2,42,4.75,NA,NA,NA
243.755390487252,1.03,1,0.17,1.01,1,0.11,1.11,1,0.32
244.082652460043,41.52,42,9.17,37.58,37,8.16,48.83,48,5.9
244.1190457581,33.84,34,5.96,34.66,35,5.72,31.54,32,6.15
244.119203944217,4.5,4.5,3.11,5.67,6,2.52,1,1,NA
244.130279846518,12.34,12,2.92,12.34,12,2.92,NA,NA,NA
244.136867466335,4.45,4,2.55,6.58,7,1.58,2.33,2,1.19
244.155456222866,20.44,21,3.4,20.34,21,3.22,23,23,8.49
244.972938863659,1.58,1,0.75,1.58,1,0.75,NA,NA,NA
245.04891188695,12.76,9,9.92,9.4,8,4.9,15.87,12,12.16
245.056227948862,3.13,3,1.66,3.13,3,1.66,NA,NA,NA
245.066684736377,88.64,89,13.61,82.05,84,13.27,95.02,97,10.59
245.094999345201,50.09,50.5,3.89,49.21,50,3.31,55.67,56,2.52
245.103064150889,75.56,77,9.7,77.24,80,10.29,73.92,74,8.84
245.114277610919,19.18,19.5,4.53,19.28,20,4.52,14.5,14.5,2.12
245.118289566024,25.85,26,5.07,16,16,4.24,26.64,26,4.28
245.131405448687,57,57,NA,57,57,NA,NA,NA,NA
245.139434182554,41.62,43.5,9.08,48.25,49,5.67,33.59,32,5.04
245.175836697815,45.78,47,3.18,45.78,47,3.18,NA,NA,NA
246.134683049119,24.38,25,6.64,24.77,25,6.35,20.56,24,8.46
247.024801042077,51.06,51,11.79,40.54,40.5,6.62,57.38,59,9.46
247.061379499278,1.5,1.5,0.71,1,1,NA,2,2,NA
247.074263164443,47.06,47,8,46.76,47,6.58,47.34,48,9.12
247.082336843181,77.49,78.5,10.67,74.15,75,11.58,81.44,81,7.9
247.09356956701,15.9,16,5.97,16.3,16,5.75,8.25,7,5.74
247.110625955868,21.63,22,4.43,24.35,25,3.76,18.94,19,3.23
247.118732964001,58.65,62,10.39,62.38,64,8.68,52.63,52,10.14
247.133967159413,52.86,53,6.38,48.94,49,7.4,55.22,54,4.26
247.155107257522,65.09,65,2.59,65.09,65,2.59,NA,NA,NA
247.170327510868,16.35,17,3.06,17.06,17,2.62,13.59,12.5,3.13
247.93993277063,2.25,2,0.44,2.25,2,0.44,NA,NA,NA
248.113987196405,29.9,30,5.97,29.96,30,5.98,25,25,NA
248.937189837669,1.38,1,0.65,1.38,1,0.65,NA,NA,NA
249.022706565235,7.28,5,6.7,5.34,5,2.51,11.45,8,10.22
249.04046751717,78.36,79.5,16.12,64.88,63,11.39,88.73,91,10.6
249.053522835028,35.58,35,8.61,30.49,30,5.43,41.28,39,7.94
249.071290403713,10.48,11,3.47,8.33,8,2.59,11.31,12,3.42
249.076852687644,85.11,87,15.95,71.47,71.5,9.76,95.44,95,11.26
249.089887662805,23.76,24,5.18,26.8,27,3.86,20.07,20,4.06
249.097983531647,70.61,70,5.66,69.64,70,4.61,74.53,76,7.74
249.107689155473,26.64,27,5.49,26.88,27,5.45,25.75,25,5.66
249.113222395913,43.85,44,5.46,42.62,44,4.93,44.94,44,5.7
249.126298314245,58.17,59,6.61,58.54,59,6.24,43,43,2.83
249.149614708999,48.55,49,6.06,50.04,51,6.16,46.89,47,5.53
249.152991266922,12.05,11,3.85,12.31,12,3.46,11.07,10,5.08
250.093247072193,24.88,25,6.69,23.29,24,5.76,32.33,35,6.43
250.111056013978,7.8,8,1.55,7.8,8,1.55,NA,NA,NA
250.121530593011,9.84,10,3.65,10.5,11,2.77,5.42,4.5,5.52
250.144861740769,20.55,21,4.67,20.45,21,4.07,20.87,19,6.17
250.981556004188,2.17,2,0.47,2.29,2,0.6,2.05,2,0.22
251.019733178809,71.3,73,19.72,54.88,57,14.39,85.37,89,10.72
251.032784091187,34.03,35,7.5,27.77,28,4.21,38.1,39,6.27
251.050779691678,2.67,3,1.53,2,2,1.41,4,4,NA
251.056098647611,70.26,73,17.57,56.16,57,11.93,82.28,87,11.66
251.059479260227,14.91,13,8.98,12.96,13,5.09,17.1,15,11.58
251.069192576234,57.49,58,8.81,54.97,56,8.92,60.2,59.5,7.89
251.078576379697,2.52,2,0.75,2.52,2,0.75,NA,NA,NA
251.086992985207,34.21,35,5.32,33.76,34.5,5.33,35.89,35.5,5.07
251.092506319237,105.89,109,17.64,92.9,95,14.56,118.46,119,9.26
251.095876461915,16.71,15,8.39,16.21,15,6.09,17.89,13,12.26
251.10558622319,59.27,60,6.75,60.45,61,6.74,54.15,54.5,3.77
251.113646102912,40.89,44,7.95,43.44,44,5.73,31.41,29,7.98
251.123342625429,32.27,32,3.75,32.8,32,2.65,19,19,NA
251.128903530196,52.38,53,7.06,49.95,51,7.29,54.93,54,5.84
251.141949573633,48.96,50,5.41,49.31,50,4.94,35,35,7.07
251.165267297786,46.14,47,5.62,47.05,48,4.89,42.12,43,6.91
251.981136323598,1.15,1,0.38,1.11,1,0.32,1.2,1,0.46
251.984939613462,1,1,0,1,1,0,NA,NA,NA
252.064420114103,11.75,10.5,7.27,8.67,7,4.73,21,21,NA
252.091124257981,3.61,3,1.06,3.62,3.5,1.06,3,3,NA
252.978589348877,1.15,1,0.36,1.17,1,0.38,1.08,1,0.27
252.985812023689,1.08,1,0.28,1.08,1,0.29,1,1,NA
252.998978540721,52.62,54,14.36,39.65,40,9.01,63.66,64,6.82
253.030189484742,1,1,NA,1,1,NA,NA,NA,NA
253.035398330868,88.68,92,24.87,68.07,69,17.51,106.25,111,14.56
253.048443667538,45.21,45,8.97,40.21,39,6.27,54.7,53.5,4.35
253.06622549481,24.36,23,6.13,21.97,22,4.67,30.13,30,5.4
253.069387226425,3,3,1.41,3,3,1.41,NA,NA,NA
253.07177564068,109.94,113,21.55,93.91,97,17.49,124.96,129,12.1
253.075155667263,13.98,11,8.56,10.63,10,5.36,19.85,21.5,10
253.08481682656,38.24,39,6.96,41.11,41,6.44,33.97,33,5.36
253.102630692448,33.82,34,4.13,33.82,34,4.13,NA,NA,NA
253.108134502222,46.92,47,6.3,43.89,45,5.41,49.76,49,5.74
253.121222317254,66.77,68,7.6,67.11,68,7.05,54.5,54.5,19.09
253.139013327442,37.1,38,5.69,37.1,38,5.69,NA,NA,NA
253.140216990533,1,1,NA,1,1,NA,NA,NA,NA
253.140376037996,1,1,NA,1,1,NA,NA,NA,NA
253.144533727518,58.91,61,9.7,64.52,66,7.62,53.43,53,8.32
253.157581406607,33,33,2.06,33,33,2.06,NA,NA,NA
253.180927545827,52.52,53,6.09,52.52,53,6.09,NA,NA,NA
253.978188566552,1.19,1,0.45,1.2,1,0.46,1,1,0
254.046043139693,1.5,1.5,0.71,1,1,NA,2,2,NA
254.080085027659,16.59,16,4.41,16.53,16,4.42,19,19,4.24
254.139820496798,25.12,26,5.07,25.49,26,4.79,20.25,18.5,6.95
254.97547322191,1.08,1,0.27,1.08,1,0.27,NA,NA,NA
255.05104328059,89.1,90,21.76,72.68,73,16.88,104.3,109.5,12.94
255.062246242688,15.84,15,7.12,13.08,13,5.14,21.76,21,7.21
255.066312291644,35.68,37,13.23,25.73,27.5,9.25,47.1,47,5.74
255.081870855102,25.21,25,4.85,24.78,25,4.5,34.33,35,3.06
255.087416289284,116.26,117,17.04,108.48,112,16.79,123.79,125,13.62
255.1004694497,39.05,39,5.53,39.19,39,5.58,35.5,35.5,2.12
255.123777597574,56.27,58,8.46,58.65,61,8.45,53.94,53,7.84
255.148850445362,1,1,NA,1,1,NA,NA,NA,NA
255.160201751604,58.42,63,12.17,63.57,66,8.56,44.32,44.5,9.01
255.196590943645,49.81,50,6.57,49.81,50,6.57,NA,NA,NA
255.23297053275,13.36,14.5,9.98,22.32,23,3.81,3.56,3,2.8
256.077151360106,2.56,2,1.24,2.56,2,1.24,NA,NA,NA
256.08268374089,45.93,46.5,16.73,34.34,32,12.88,57.19,58.5,11.55
