"Mass","MolForm"
"231.1237543","C11H20O5"
"231.1238891","C11H20O5"
"231.1350267","C10H20O4N2"
"231.1390333","C15H20O2"
"231.160163","C12H24O4"
"231.160295","C12H24O4"
"231.1753261","C16H24O"
"231.9587955","C5H4O4N3SP"
"231.9921718","C7H7O6NS"
"232.0284788","C8H11O5NS"
"232.0462172","C8H11O7N"
"232.0463644","C8H11O7N"
"232.0615087","C12H11O4N"
"232.0826607","C9H15O6N"
"232.0938822","C8H15O5N3"
"232.1190215","C10H19O5N"
"232.1454618","C13H19ON3"
"232.9136952","C6H3O4S2P"
"232.9612982","C6H7O2N2S2P"
"232.9761382","C7H6O7S"
"232.9947791","C8H10O4S2"
"233.0091463","C11H6O6"
"233.0092754","C11H6O6"
"233.0125103","C8H10O6S"
"233.0126356","C8H10O6S"
"233.0204729","C10H6O5N2"
"233.023731","C7H10O5N2S"
"233.0277466","C12H10O3S"
"233.0302909","C8H10O8"
"233.0455307","C12H10O5"
"233.0456537","C12H10O5"
"233.0489051","C9H14O5S"
"233.0567413","C11H10O4N2"
"233.0568841","C11H10O4N2"
"233.0666759","C9H14O7"
"233.0779065","C8H14O6N2"
"233.0819208","C13H14O4"
"233.0820423","C13H14O4"
"233.0852976","C10H18O4S"
"233.0947475","C10H19O4P"
"233.1030488","C10H18O6"
"233.1142766","C9H18O5N2"
"233.1144032","C9H18O5N2"
"233.1182842","C14H18O3"
"233.1184041","C14H18O3"
"233.1216726","C11H22O3S"
"233.1394006","C11H22O5"
"233.1506922","C10H22O4N2"
"233.1546845","C15H22O2"
"233.1581867","C12H26O2S"
"233.1910701","C16H26O"
"233.9714085","C6H5O7NS"
"233.9801932","C9H5ON3S2"
"234.0043584","C10H5O6N"
"234.0148355","C11H10ONSP"
"234.0407445","C11H9O5N"
"234.0441389","C8H13O5NS"
"234.0519452","C10H9O4N3"
"234.0619171","C8H13O7N"
"234.0771258","C12H13O4N"
"234.0772596","C12H13O4N"
"234.1170011","C10H21O3NS"
