"Mass","Total_all_peaks","Total_all_sed","Total_all_water","Total_mf_peaks","Total_mf_sed","Total_mf_water"
"231.0332653",2639,1144,1495,2634,1144,1490
"231.0662593",4668,375,4293,4667,374,4293
"231.0663908",7,3,4,7,3,4
"231.0696453",418,23,395,418,23,395
"231.0873835",21821,11191,10630,21562,11030,10532
"231.0986346",1021,1021,NA,1018,1018,NA
"231.0987563",2,2,NA,1,1,NA
"231.1025998",58,2,56,58,2,56
"231.1027592",6,NA,6,6,NA,6
"231.1237543",8503,5626,2877,7781,5187,2594
"231.1238891",12,6,6,12,6,6
"231.1350267",1986,1986,NA,2019,2019,NA
"231.1390333",89,89,NA,85,85,NA
"231.9587955",1,NA,1,1,NA,1
"231.9921718",11,NA,11,11,NA,11
"232.0284788",56,NA,56,56,NA,56
"232.0462172",3,NA,3,3,NA,3
"232.0463644",2,2,NA,2,2,NA
"232.0615087",1353,NA,1353,1352,NA,1352
"232.0826607",1295,956,339,1295,956,339
"232.0938822",466,431,35,464,430,34
"232.1190215",1069,1043,26,1052,1026,26
"232.9761382",21,21,NA,21,21,NA
"232.9947791",63,63,NA,55,55,NA
"233.0091463",11596,3679,7917,11575,3678,7897
"233.0092754",2,NA,2,2,NA,2
"233.0125103",523,9,514,523,9,514
"233.0204729",9,NA,9,10,NA,10
"233.0277466",25,NA,25,25,NA,25
"233.0302909",817,817,NA,826,826,NA
"233.0455307",14803,4479,10324,14797,4475,10322
"233.0456537",6,NA,6,6,NA,6
"233.0489051",1168,45,1123,1167,45,1122
"233.0567413",201,NA,201,201,NA,201
"233.0568841",23,NA,23,23,NA,23
"233.0666759",13715,7854,5861,13676,7841,5835
"233.0779065",855,855,NA,845,845,NA
"233.0819208",11417,2644,8773,11417,2644,8773
"233.0852976",794,205,589,815,207,608
"233.0947475",1,NA,1,1,NA,1
"233.1030488",13576,9692,3884,12509,8889,3620
"233.1142766",1711,1592,119,1715,1596,119
"233.1182842",3580,836,2744,3864,890,2974
"233.1184041",2,NA,2,2,NA,2
"233.1216726",134,134,NA,134,134,NA
"233.1394006",595,595,NA,595,595,NA
"233.1506922",1,1,NA,1,1,NA
"233.1546845",7991,4812,3179,8275,4835,3440
"233.1910701",15,NA,15,15,NA,15
"233.9714085",1,NA,1,1,NA,1
"233.9801932",1,NA,1,1,NA,1
"234.0043584",97,15,82,97,15,82
"234.0407445",1135,61,1074,1130,61,1069
"234.0441389",23,NA,23,23,NA,23
"234.0619171",146,54,92,146,54,92
"234.0632578",16,16,NA,16,16,NA
"234.0771258",387,21,366,385,20,365
"234.0772596",17,2,15,17,2,15
"234.9447239",1,1,NA,1,1,NA
"234.9740409",11,9,2,11,9,2
"234.9884288",271,28,243,267,27,240
"235.0070019",92,NA,92,92,NA,92
"235.0247912",17996,5549,12447,17962,5548,12414
"235.0281549",620,NA,620,620,NA,620
"235.0295381",1,NA,1,1,NA,1
"235.0434342",389,NA,389,389,NA,389
"235.0472823",23,10,13,23,10,13
"235.0611873",22636,7568,15068,22635,7568,15067
"235.0645616",1253,183,1070,1252,183,1069
"235.0724095",1397,855,542,1482,911,571
"235.0822885",389,80,309,367,76,291
"235.0836959",2,NA,2,2,NA,2
"235.0975749",17947,8444,9503,18226,8654,9572
"235.1009797",286,95,191,286,95,191
"235.1088092",534,520,14,534,520,14
"235.1187272",3678,3602,76,3486,3413,73
"235.1339408",5711,2727,2984,5522,2622,2900
"235.1373359",155,153,2,155,153,2
"235.1703492",4002,3852,150,4123,3968,155
"236.0200457",3049,37,3012,3049,37,3012
"236.0411845",49,NA,49,47,NA,47
"236.0564412",10415,1533,8882,10500,1486,9014
"236.0677363",4,NA,4,4,NA,4
"236.0775878",110,NA,110,106,NA,106
"236.0961842",18,9,9,17,8,9
"236.1252292",11,11,NA,11,11,NA
"236.9240473",1,NA,1,1,NA,1
"237.0040579",8042,1700,6342,7932,1651,6281
"237.0404421",21212,7292,13920,20944,7186,13758
"237.0438231",916,389,527,938,397,541
"237.0516402",175,NA,175,175,NA,175
"237.0557629",18,NA,18,18,NA,18
"237.0768351",26907,10399,16508,26902,10399,16503
"237.0802207",796,348,448,795,348,447
"237.0881915",3,3,NA,3,3,NA
"237.0920867",3,3,NA,3,3,NA
"237.0953938",7,NA,7,7,NA,7
"237.0979613",130,34,96,130,34,96
"237.1092611",5,NA,5,5,NA,5
"237.1132227",20131,9315,10816,19068,8898,10170
"237.1165843",130,45,85,130,45,85
"237.1496102",7380,6701,679,7227,6564,663
"237.1860149",69,69,NA,67,67,NA
"238.0081348",1,1,NA,1,1,NA
"238.0356696",2764,189,2575,2764,189,2575
"238.0358133",10,NA,10,10,NA,10
"238.0469082",10,NA,10,10,NA,10
"238.0568144",2,NA,2,1,NA,1
