Study_code,Sample_ID,000681_NPOC_mg_per_L_as_C
WHONDRS_S19S,S19S_0084_ICR-3,1.36
WHONDRS_S19S,S19S_0085_ICR-1,1.29
WHONDRS_S19S,S19S_0085_ICR-2,1.57
WHONDRS_S19S,S19S_0085_ICR-3,0.87
WHONDRS_S19S,S19S_0086_ICR-1,0.58
WHONDRS_S19S,S19S_0086_ICR-2,0.74
WHONDRS_S19S,S19S_0086_ICR-3,0.77
WHONDRS_S19S,S19S_0087_ICR-1,2.16
WHONDRS_S19S,S19S_0087_ICR-2,1.45
WHONDRS_S19S,S19S_0087_ICR-3,1.46
WHONDRS_S19S,S19S_0089_ICR-1,1.59
WHONDRS_S19S,S19S_0089_ICR-2,2.37
WHONDRS_S19S,S19S_0089_ICR-3,1.16
WHONDRS_S19S,S19S_0090_ICR-2,2.08
WHONDRS_S19S,S19S_0090_ICR-3,1.54
WHONDRS_S19S,S19S_0091_ICR-2,Below_Range_Less_Than_0.45
WHONDRS_S19S,S19S_0091_ICR-3,Below_Range_Less_Than_0.45
WHONDRS_S19S,S19S_0092_ICR-1,8.31
WHONDRS_S19S,S19S_0092_ICR-2,9.01
WHONDRS_S19S,S19S_0092_ICR-3,8.13
WHONDRS_S19S,S19S_0093_ICR-1,11.09
WHONDRS_S19S,S19S_0093_ICR-2,10.83
WHONDRS_S19S,S19S_0093_ICR-3,8.47
WHONDRS_S19S,S19S_0094_ICR-1,1.24
WHONDRS_S19S,S19S_0094_ICR-2,0.8
WHONDRS_S19S,S19S_0094_ICR-3,1.09
WHONDRS_S19S,S19S_0096_ICR-1,0.89
WHONDRS_S19S,S19S_0096_ICR-2,0.88
WHONDRS_S19S,S19S_0096_ICR-3,0.78
WHONDRS_S19S,S19S_0097_ICR-1,0.58
WHONDRS_S19S,S19S_0097_ICR-2,1.16
WHONDRS_S19S,S19S_0097_ICR-3,0.98
WHONDRS_S19S,S19S_0098_ICR-1,0.93
WHONDRS_S19S,S19S_0098_ICR-2,0.73
WHONDRS_S19S,S19S_0098_ICR-3,0.94
WHONDRS_S19S,S19S_0099_ICR-1,2.3
WHONDRS_S19S,S19S_0099_ICR-2,Below_Range_Less_Than_0.45
WHONDRS_S19S,S19S_0099_ICR-2,Below_Range_Less_Than_0.45
WHONDRS_S19S,S19S_0099_ICR-3,1.62
WHONDRS_S19S,S19S_0100_ICR-1,0.55
WHONDRS_S19S,S19S_0100_ICR-2,0.47
WHONDRS_S19S,S19S_0100_ICR-3,0.67
