sample,total.transformations
Sample_S19S_0077_ICR.2_p05,27886
Sample_S19S_0077_ICR.3_p05,39447
Sample_S19S_0077_Sed_Field_ICR.M_p2,32878
Sample_S19S_0077_Sed_Field_ICR.U_p2,32741
Sample_S19S_0078_ICR.1_p05,48191
Sample_S19S_0078_ICR.2_p05,44461
Sample_S19S_0078_ICR.3_p05,49526
Sample_S19S_0078_Sed_Field_ICR.D_p2,33503
Sample_S19S_0078_Sed_Field_ICR.M_p2,27671
Sample_S19S_0078_Sed_Field_ICR.U_p2,34675
Sample_S19S_0079_ICR.1_p05,50193
Sample_S19S_0079_ICR.2_p05,51985
Sample_S19S_0079_ICR.3_p05,51602
Sample_S19S_0079_Sed_Field_ICR.D_p2,3885
Sample_S19S_0080_ICR.1_p05,47350
Sample_S19S_0080_ICR.2_p05,50680
Sample_S19S_0080_Sed_Field_ICR.D_p2,38034
Sample_S19S_0080_Sed_Field_ICR.M_p2,30114
Sample_S19S_0080_Sed_Field_ICR.U_p2,28846
Sample_S19S_0081_ICR.1_p05,57751
Sample_S19S_0081_ICR.2_p05,61083
Sample_S19S_0081_ICR.3_p05,54604
Sample_S19S_0081_Sed_Field_ICR.M_p2,35549
Sample_S19S_0081_Sed_Field_ICR.U_p2,24168
Sample_S19S_0082_ICR.1_p05,60159
Sample_S19S_0082_ICR.2_p05,45304
Sample_S19S_0082_ICR.3_p05,48795
Sample_S19S_0082_Sed_Field_ICR.D_p2,35063
Sample_S19S_0082_Sed_Field_ICR.M_p2,40430
Sample_S19S_0082_Sed_Field_ICR.U_p2,28539
Sample_S19S_0083_ICR.1_p05,63507
Sample_S19S_0083_ICR.2_p05,57464
Sample_S19S_0083_ICR.3_p05,57945
Sample_S19S_0083_Sed_Field_ICR.D_p2,27863
Sample_S19S_0083_Sed_Field_ICR.M_p2,30287
Sample_S19S_0084_ICR.1_p05,27235
Sample_S19S_0084_ICR.2_p05,35872
Sample_S19S_0084_ICR.3_p05,35693
Sample_S19S_0084_Sed_Field_ICR.D_p2,31368
Sample_S19S_0084_Sed_Field_ICR.M_p2,24671
Sample_S19S_0084_Sed_Field_ICR.U_p2,29846
Sample_S19S_0085_ICR.1_p05,13291
Sample_S19S_0085_ICR.2_p05,44920
Sample_S19S_0085_ICR.3_p05,42733
Sample_S19S_0085_Sed_Field_ICR.D_p15,21712
Sample_S19S_0085_Sed_Field_ICR.M_p15,27333
Sample_S19S_0086_ICR.2_p05,17292
